BYQUEST,BYCOND,DESCRIP_E,DESCRIP_F,DEMCODE 2022-2023
Q93,Q93 = 1,Working on-site,Travaille sur place,1000
Q93,Q93 = 2,Working remotely,Travaille Ö distance,1001
Q93,Q93 = 3,Hybrid Working model,Travaille Ö la fois Ö distance et sur place,1002
Q81,Q81 = 1,Supervisor,Superviseur(e),1003
Q81,Q81 = 2,Non-supervisor,Pas superviseur(e),1004
Q102,Q102 = 1,Shift worker ,Travaille par postes ou quarts,1005
Q102,Q102 = 2,Non-shift worker,Ne travaille pas par postes ou quarts,1006
Q103,Q103 = 1,Full-time,Temps plein,1007
Q103,Q103 = 2,Part-time,Temps partiel,1008
Q104,Q104 = 1,Indeterminate (permanent),IndÇterminÇ (e) (permanent),1009
Q104,Q104 = 2,Seasonal,Saisonnier,1010
Q104,Q104 = 3,Term,DÇterminÇ,1011
Q104,Q104 = 4,Casual,Occasionnel,1012
Q104,Q104 = 5,Student ,êtudiant,1013
Q104,Q104 = 7,Governor-in-council appointee,Nomination par le gouverneur en conseil,1015
Q106,Q106 = 1,Language requirement of position  - Bilingual,Exigences linguistiques du poste - Bilingue,1017
Q106,Q106 = 2,Language requirement of position  - Unilingual English,Exigences linguistiques du poste - Unilingue anglais,1018
Q106,Q106 = 3,Language requirement of position  - Unilingual French,Exigences linguistiques du poste - Unilingue franáais,1019
Q106,Q106 = 4,Language requirement of position  - Either English or French,Exigences linguistiques du poste - L'une ou l'autre des deux langues officielles,1020
Q109,Q109 = 1,Client contact centre,Service Ö la clientäle,1021
Q109,Q109 = 2,Health care practitioners ,Professionnels de la santÇ,1022
Q109,Q109 = 3,Federal regulators,RÇgulateurs fÇdÇraux,1023
Q109,Q109 = 4,"Compliance, inspection and enforcement","ConformitÇ, inspection et mise en application de la loi",1024
Q109,Q109 = 5,Communications or public affairs,Communications ou affaires publiques,1025
Q109,Q109 = 6,Access to information and privacy,Accäs Ö l'information et protection des renseignements personnels,1026
Q109,Q109 = 7,Security,SÇcuritÇ,1027
Q109,Q109 = 8,Science and technology,Sciences et technologie,1028
Q109,Q109 = 9,Library services ,Services de bibliothäques ,1029
Q109,Q109 = 10,Legal services,Services juridiques,1030
Q109,Q109 = 11,Administration and operations,Administration et opÇrations,1031
Q109,Q109 = 12,Human resources,Ressources humaines,1032
