SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable,Combined_Text,Cleaned_Text,Polarity_Score,percent_answer1,percent_answer2,percent_answer3,percent_answer4,percent_answer5,Weighted_Score,Weighted_Score_Norm,Hybrid_Score,Hybrid_Sentiment
2022,Public Service,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",forty three percent voted for ,I have all the equipment I need.,forty one percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,nine percent voted for ,I lack some necessary equipment.,four percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q01 Question 1. I have the tools, technology and equipment I need to do my job. forty three percent voted for  I have all the equipment I need. forty one percent voted for  I have most of the equipment I need. four percent voted for  I am unsure if I have all the equipment I need. nine percent voted for  I lack some necessary equipment. four percent voted for  I do not have the equipment I need.",q01 question 1. tool technology equipment need job forty three percent vote equipment need forty one percent vote equipment need four percent vote unsure equipment need nine percent vote lack necessary equipment four percent vote equipment need,0,43,41,4,9,4,110,0.5,0.35,Positive
2022,Health Canada,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty nine percent voted for ,I have all the equipment I need.,forty four percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,four percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q01 Question 1. I have the tools, technology and equipment I need to do my job. thirty nine percent voted for  I have all the equipment I need. forty four percent voted for  I have most of the equipment I need. four percent voted for  I am unsure if I have all the equipment I need. ten percent voted for  I lack some necessary equipment. four percent voted for  I do not have the equipment I need.",q01 question 1. tool technology equipment need job thirty nine percent vote equipment need forty four percent vote equipment need four percent vote unsure equipment need ten percent vote lack necessary equipment four percent vote equipment need,0,39,44,4,10,4,104,0.453846154,0.317692308,Positive
2020,Public Service,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty seven percent voted for ,I have all the equipment I need.,forty five percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,three percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q01 Question 1. I have the tools, technology and equipment I need to do my job. thirty seven percent voted for  I have all the equipment I need. forty five percent voted for  I have most of the equipment I need. four percent voted for  I am unsure if I have all the equipment I need. ten percent voted for  I lack some necessary equipment. three percent voted for  I do not have the equipment I need.",q01 question 1. tool technology equipment need job thirty seven percent vote equipment need forty five percent vote equipment need four percent vote unsure equipment need ten percent vote lack necessary equipment three percent vote equipment need,0,37,45,4,10,3,103,0.446153846,0.312307692,Positive
2020,Health Canada,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty eight percent voted for ,I have all the equipment I need.,forty six percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,two percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.,"Q01 Question 1. I have the tools, technology and equipment I need to do my job. thirty eight percent voted for  I have all the equipment I need. forty six percent voted for  I have most of the equipment I need. four percent voted for  I am unsure if I have all the equipment I need. ten percent voted for  I lack some necessary equipment. two percent voted for  I do not have the equipment I need.",q01 question 1. tool technology equipment need job thirty eight percent vote equipment need forty six percent vote equipment need four percent vote unsure equipment need ten percent vote lack necessary equipment two percent vote equipment need,0,38,46,4,10,2,108,0.484615385,0.339230769,Positive
2022,Public Service,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy five percent voted for ,All tools are available in my preferred official language.,eighteen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q02 Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice. seventy five percent voted for  All tools are available in my preferred official language. eighteen percent voted for  Most tools are available in my preferred official language. three percent voted for  I am neutral about the availability of tools in my preferred language. two percent voted for  Some tools are not available in my preferred official language. one percent voted for  Tools are not available in my preferred official language.",q02 question 2. material tool provide work include software automate tool available official language choice seventy five percent vote tool available prefer official language eighteen percent vote tool available prefer official language three percent vote neutral availability tool prefer language two percent vote tool available prefer official language one percent vote tool available prefer official language,0.4,75,18,3,2,1,164,0.915384615,0.760769231,Positive
2022,Health Canada,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy four percent voted for ,All tools are available in my preferred official language.,seventeen percent voted for ,Most tools are available in my preferred official language.,four percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q02 Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice. seventy four percent voted for  All tools are available in my preferred official language. seventeen percent voted for  Most tools are available in my preferred official language. four percent voted for  I am neutral about the availability of tools in my preferred language. two percent voted for  Some tools are not available in my preferred official language. one percent voted for  Tools are not available in my preferred official language.",q02 question 2. material tool provide work include software automate tool available official language choice seventy four percent vote tool available prefer official language seventeen percent vote tool available prefer official language four percent vote neutral availability tool prefer language two percent vote tool available prefer official language one percent vote tool available prefer official language,0.4,0,17,4,2,1,13,-0.246153846,-0.052307692,Neutral
2020,Public Service,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy six percent voted for ,All tools are available in my preferred official language.,seventeen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q02 Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice. seventy six percent voted for  All tools are available in my preferred official language. seventeen percent voted for  Most tools are available in my preferred official language. three percent voted for  I am neutral about the availability of tools in my preferred language. two percent voted for  Some tools are not available in my preferred official language. one percent voted for  Tools are not available in my preferred official language.",q02 question 2. material tool provide work include software automate tool available official language choice seventy six percent vote tool available prefer official language seventeen percent vote tool available prefer official language three percent vote neutral availability tool prefer language two percent vote tool available prefer official language one percent vote tool available prefer official language,0.4,0,17,3,2,1,13,-0.246153846,-0.052307692,Neutral
2020,Health Canada,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy seven percent voted for ,All tools are available in my preferred official language.,sixteen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q02 Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice. seventy seven percent voted for  All tools are available in my preferred official language. sixteen percent voted for  Most tools are available in my preferred official language. three percent voted for  I am neutral about the availability of tools in my preferred language. two percent voted for  Some tools are not available in my preferred official language. one percent voted for  Tools are not available in my preferred official language.",q02 question 2. material tool provide work include software automate tool available official language choice seventy seven percent vote tool available prefer official language sixteen percent vote tool available prefer official language three percent vote neutral availability tool prefer language two percent vote tool available prefer official language one percent vote tool available prefer official language,0.4,0,16,3,2,1,12,-0.253846154,-0.057692308,Neutral
2022,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty nine percent voted for ,My workspace fully meets my job requirements.,thirty one percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,eight percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. forty nine percent voted for  My workspace fully meets my job requirements. thirty one percent voted for  My workspace mostly meets my job requirements. seven percent voted for  I am neutral about the suitability of my workspace. eight percent voted for  My workspace does not fully meet job requirements. five percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements forty nine percent vote workspace fully meet job requirements thirty one percent vote workspace mostly meet job requirements seven percent vote neutral suitability workspace eight percent vote workspace fully meet job requirements five percent vote workspace suitable job,0.4,49,31,7,8,5,111,0.507692308,0.475384615,Positive
2022,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty one percent voted for ,My workspace fully meets my job requirements.,thirty four percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,eleven percent voted for ,My workspace does not fully meet job requirements.,six percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.,"Q03 Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements. forty one percent voted for  My workspace fully meets my job requirements. thirty four percent voted for  My workspace mostly meets my job requirements. seven percent voted for  I am neutral about the suitability of my workspace. eleven percent voted for  My workspace does not fully meet job requirements. six percent voted for  My workspace is not suitable for my job.",q03 question 3. physical environment e.g. office workspace suitable job requirements forty one percent vote workspace fully meet job requirements thirty four percent vote workspace mostly meet job requirements seven percent vote neutral suitability workspace eleven percent vote workspace fully meet job requirements six percent vote workspace suitable job,0.4,41,34,7,11,6,93,0.369230769,0.378461538,Positive
