SURVEYR,descrip_E,QUESTION,TITLE_E,ANSWER1,Strongly Agree,ANSWER2,Somewhat Agree,ANSWER3,Neither Agree Nor Disagree,ANSWER4,Somewhat Disagree,ANSWER5,Strongly Disagree,ANSWER6,Don't Know,ANSWER7,Not Applicable
2022,Public Service,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",forty three percent voted for ,I have all the equipment I need.,forty one percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,nine percent voted for ,I lack some necessary equipment.,four percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty nine percent voted for ,I have all the equipment I need.,forty four percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,four percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Public Service,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty seven percent voted for ,I have all the equipment I need.,forty five percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,three percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q01,"Question 1. I have the tools, technology and equipment I need to do my job.",thirty eight percent voted for ,I have all the equipment I need.,forty six percent voted for ,I have most of the equipment I need.,four percent voted for ,I am unsure if I have all the equipment I need.,ten percent voted for ,I lack some necessary equipment.,two percent voted for ,I do not have the equipment I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy five percent voted for ,All tools are available in my preferred official language.,eighteen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Health Canada,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy four percent voted for ,All tools are available in my preferred official language.,seventeen percent voted for ,Most tools are available in my preferred official language.,four percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Public Service,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy six percent voted for ,All tools are available in my preferred official language.,seventeen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Health Canada,Q02,"Question 2. The material and tools provided for my work, including software and other automated tools, are available in the official language of my choice.",seventy seven percent voted for ,All tools are available in my preferred official language.,sixteen percent voted for ,Most tools are available in my preferred official language.,three percent voted for ,I am neutral about the availability of tools in my preferred language.,two percent voted for ,Some tools are not available in my preferred official language.,one percent voted for ,Tools are not available in my preferred official language.,one percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty nine percent voted for ,My workspace fully meets my job requirements.,thirty one percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,eight percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty one percent voted for ,My workspace fully meets my job requirements.,thirty four percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,eleven percent voted for ,My workspace does not fully meet job requirements.,six percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",thirty nine percent voted for ,My workspace fully meets my job requirements.,thirty eight percent voted for ,My workspace mostly meets my job requirements.,nine percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,three percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2020,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",thirty six percent voted for ,My workspace fully meets my job requirements.,thirty nine percent voted for ,My workspace mostly meets my job requirements.,nine percent voted for ,I am neutral about the suitability of my workspace.,twelve percent voted for ,My workspace does not fully meet job requirements.,three percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Public Service,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty three percent voted for ,My workspace fully meets my job requirements.,thirty five percent voted for ,My workspace mostly meets my job requirements.,seven percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q03,"Question 3. My physical environment (e.g., office, workspace) is suitable for my job requirements.",forty four percent voted for ,My workspace fully meets my job requirements.,thirty four percent voted for ,My workspace mostly meets my job requirements.,six percent voted for ,I am neutral about the suitability of my workspace.,ten percent voted for ,My workspace does not fully meet job requirements.,five percent voted for ,My workspace is not suitable for my job.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Public Service,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,thirty nine percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2022,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,forty one percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Public Service,Q04,Question 4. I get the training I need to do my job.,thirty three percent voted for ,I receive all the training I need.,thirty nine percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,eleven percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2020,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty six percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,eleven percent voted for ,I am neutral about the amount of training I receive.,nine percent voted for ,I do not receive enough training.,three percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2019,Public Service,Q04,Question 4. I get the training I need to do my job.,twenty nine percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,thirteen percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2019,Health Canada,Q04,Question 4. I get the training I need to do my job.,thirty one percent voted for ,I receive all the training I need.,forty percent voted for ,I receive most of the training I need.,twelve percent voted for ,I am neutral about the amount of training I receive.,thirteen percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,zero percent voted for ,This does not apply to me.
2018,Public Service,Q04,Question 4. I get the training I need to do my job.,twenty five percent voted for ,I receive all the training I need.,forty five percent voted for ,I receive most of the training I need.,ten percent voted for ,I am neutral about the amount of training I receive.,fourteen percent voted for ,I do not receive enough training.,six percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2018,Health Canada,Q04,Question 4. I get the training I need to do my job.,twenty seven percent voted for ,I receive all the training I need.,forty four percent voted for ,I receive most of the training I need.,eleven percent voted for ,I am neutral about the amount of training I receive.,twelve percent voted for ,I do not receive enough training.,four percent voted for ,I do not receive the training I need.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Public Service,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty nine percent voted for ,I have everything I need to ensure my health and safety.,thirty three percent voted for ,I have most things I need to ensure my health and safety.,seven percent voted for ,I am unsure if I have what I need for health and safety.,six percent voted for ,I lack some things needed for health and safety.,three percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
2022,Health Canada,Q05,"Question 5. I have the information, training and equipment I need to ensure my health and safety at work.",forty five percent voted for ,I have everything I need to ensure my health and safety.,thirty five percent voted for ,I have most things I need to ensure my health and safety.,eight percent voted for ,I am unsure if I have what I need for health and safety.,seven percent voted for ,I lack some things needed for health and safety.,four percent voted for ,I do not have what I need for health and safety.,zero percent voted for this option.,I am unsure.,one percent voted for ,This does not apply to me.
